account_id,account_name,region,account_manager,onboarded
ACC-101,Northgate Traders,North,Priya Nair,2024-09-01
ACC-102,Cedar & Co,South,Rohit Sharma,2024-09-01
ACC-103,Harbor Point Supplies,West,Anil Kumar,2024-09-01
ACC-104,Sunset Hardware,East,Fatima Sheikh,2024-09-01
ACC-105,Vertex Retail Group,North,Priya Nair,2024-09-01
ACC-106,Kingsway Distributors,South,Rohit Sharma,2024-09-01
ACC-107,Ashford Retail,West,Anil Kumar,2024-09-01
ACC-108,Belmont Stores,East,Fatima Sheikh,2024-09-01
ACC-109,Quarry Lane Supply,North,Priya Nair,2026-04-01
ACC-110,Fairview Depot,South,Rohit Sharma,2024-09-01
ACC-111,Oakridge Traders,West,Anil Kumar,2024-09-01
ACC-112,Riverside Retail,East,Fatima Sheikh,2024-09-01
ACC-113,Meadowlark Supplies,North,Priya Nair,2024-09-01
ACC-114,Ironclad Retailers,South,Rohit Sharma,2024-09-01
ACC-115,Pinnacle Traders,West,Anil Kumar,2024-09-01
ACC-116,Grove Street Stores,East,Fatima Sheikh,2024-09-01
ACC-117,Halcyon Distributors,North,Priya Nair,2024-09-01
ACC-118,Copper & Kline,South,Rohit Sharma,2024-09-01
