account_id,account_name,month,revenue,margin,orders,lines,margin_pct,high_rev,high_share
ACC-101,Northgate Traders,2024-09,291827.76,103176.76,1,8,0.354,214595.27,0.735
ACC-101,Northgate Traders,2024-10,260171.83,87774.83,1,8,0.337,182709.14,0.702
ACC-101,Northgate Traders,2024-11,280682.15,95375.15,1,8,0.34,202736.82,0.722
ACC-101,Northgate Traders,2024-12,289300.11,96833.11,1,8,0.335,211700.13,0.732
ACC-101,Northgate Traders,2025-01,267323.61,89484.61,1,8,0.335,193986.44,0.726
ACC-101,Northgate Traders,2025-02,288390.36,101959.36,1,8,0.354,211863.51,0.735
ACC-101,Northgate Traders,2025-03,254233.02,84240.02,1,8,0.331,181121.63,0.712
ACC-101,Northgate Traders,2025-04,264452.92,88445.92,2,8,0.334,186772.87,0.706
ACC-101,Northgate Traders,2025-05,276422.27,91942.27,2,8,0.333,203508.59,0.736
ACC-101,Northgate Traders,2025-06,288589.55,96962.55,1,8,0.336,213343.8,0.739
ACC-101,Northgate Traders,2025-07,278949.78,94461.78,1,8,0.339,203793.13,0.731
ACC-101,Northgate Traders,2025-08,268083.61,91776.61,2,8,0.342,194256.66,0.725
ACC-101,Northgate Traders,2025-09,283744.24,95937.24,1,8,0.338,194131.66,0.684
ACC-101,Northgate Traders,2025-10,256718.71,78795.71,1,8,0.307,153335.21,0.597
ACC-101,Northgate Traders,2025-11,265140.87,78281.87,2,8,0.295,147382.86,0.556
ACC-101,Northgate Traders,2025-12,295513.03,84537.03,1,8,0.286,156036.33,0.528
ACC-101,Northgate Traders,2026-01,274653.87,69685.87,1,8,0.254,117260.5,0.427
ACC-101,Northgate Traders,2026-02,276143.14,65203.14000000001,1,8,0.236,115623.49,0.419
ACC-101,Northgate Traders,2026-03,284047.36,63006.36,1,8,0.222,98399.47,0.346
ACC-101,Northgate Traders,2026-04,271017.56,62298.56,1,8,0.23,82809.98999999999,0.306
ACC-101,Northgate Traders,2026-05,276507.81,56859.81,2,8,0.206,65003.58,0.235
ACC-101,Northgate Traders,2026-06,282966.52,51252.52,2,8,0.181,58201.84,0.206
ACC-101,Northgate Traders,2026-07,299833.78,51495.78,1,8,0.172,42339.23,0.141
ACC-101,Northgate Traders,2026-08,285503.66,53224.66,1,8,0.186,34963.73,0.122
ACC-102,Cedar & Co,2024-09,218870.51,65638.51,2,8,0.3,107267.19,0.49
ACC-102,Cedar & Co,2024-10,215925.47,62752.47,1,8,0.291,106533.04,0.493
ACC-102,Cedar & Co,2024-11,209681.03,59506.03,1,8,0.284,102475.83,0.489
ACC-102,Cedar & Co,2024-12,215597.03,61455.03,1,8,0.285,109202.03,0.507
ACC-102,Cedar & Co,2025-01,206151.04,56987.04,1,8,0.276,95471.75,0.463
ACC-102,Cedar & Co,2025-02,202203.25,56021.25,1,8,0.277,92106.41,0.456
ACC-102,Cedar & Co,2025-03,222126.9,64442.9,1,8,0.29,114065.17,0.514
ACC-102,Cedar & Co,2025-04,216268.15,63438.15,2,8,0.293,110402.33,0.51
ACC-102,Cedar & Co,2025-05,225084.02,66773.02,1,8,0.297,116899.17,0.519
ACC-102,Cedar & Co,2025-06,208051.89,59679.89,1,8,0.287,98651.93,0.474
ACC-102,Cedar & Co,2025-07,215800.99,64334.99000000001,1,8,0.298,108333.78,0.502
ACC-102,Cedar & Co,2025-08,219610.14,65218.14,1,8,0.297,106782.06,0.486
ACC-102,Cedar & Co,2025-09,218091.11,62982.11,1,8,0.289,112166.82,0.514
ACC-102,Cedar & Co,2025-10,200040.2,55346.2,1,8,0.277,90680.76,0.453
