order_id,account_id,date,product_id,category,unit_price,quantity,revenue,margin
ORD-ACC-0001-0002,ACC-0001,2024-04-01,CS-03,Chemical Supplies,489.28,4,1957.12,430.57
ORD-ACC-0001-0007,ACC-0001,2024-04-01,SG-03,Safety Gear,438.64,5,2193.2,394.78
ORD-ACC-0001-0006,ACC-0001,2024-04-02,PT-02,Precision Tools,1648.0,1,1648.0,461.44
ORD-ACC-0001-0009,ACC-0001,2024-04-09,PT-02,Precision Tools,1666.79,5,8333.95,2333.51
ORD-ACC-0001-0009,ACC-0001,2024-04-09,SG-01,Safety Gear,284.12,4,1136.48,204.57
ORD-ACC-0001-0009,ACC-0001,2024-04-09,SG-03,Safety Gear,446.35,4,1785.4,321.37
ORD-ACC-0001-0004,ACC-0001,2024-04-19,PT-03,Precision Tools,4383.76,1,4383.76,1227.45
ORD-ACC-0001-0004,ACC-0001,2024-04-19,OS-02,Office Supplies,126.58,5,632.9,63.29
ORD-ACC-0001-0008,ACC-0001,2024-04-21,CS-03,Chemical Supplies,474.7,5,2373.5,522.17
ORD-ACC-0001-0008,ACC-0001,2024-04-21,IE-01,Industrial Equipment,12744.11,1,12744.11,4333.0
ORD-ACC-0001-0001,ACC-0001,2024-04-23,CS-01,Cleaning Supplies,49.75,4,199.0,17.91
ORD-ACC-0001-0001,ACC-0001,2024-04-23,PT-02,Precision Tools,1652.62,5,8263.1,2313.67
ORD-ACC-0001-0003,ACC-0001,2024-04-26,PM-02,Packaging Materials,56.31,1,56.31,4.5
ORD-ACC-0001-0003,ACC-0001,2024-04-26,PM-03,Packaging Materials,24.18,4,96.72,7.74
ORD-ACC-0001-0005,ACC-0001,2024-04-26,OS-02,Office Supplies,124.59,3,373.77,37.38
ORD-ACC-0001-0005,ACC-0001,2024-04-26,IE-03,Industrial Equipment,13840.26,4,55361.04,18822.75
ORD-ACC-0001-0017,ACC-0001,2024-05-03,PM-03,Packaging Materials,23.66,1,23.66,1.89
ORD-ACC-0001-0020,ACC-0001,2024-05-03,PM-02,Packaging Materials,54.18,5,270.9,21.67
ORD-ACC-0001-0020,ACC-0001,2024-05-03,OS-03,Office Supplies,86.73,2,173.46,17.35
ORD-ACC-0001-0012,ACC-0001,2024-05-10,PT-02,Precision Tools,1650.81,2,3301.62,924.45
ORD-ACC-0001-0012,ACC-0001,2024-05-10,CS-01,Chemical Supplies,977.54,5,4887.7,1075.29
ORD-ACC-0001-0012,ACC-0001,2024-05-10,OS-01,Office Supplies,103.15,4,412.6,41.26
ORD-ACC-0001-0019,ACC-0001,2024-05-13,PM-02,Packaging Materials,55.64,5,278.2,22.26
ORD-ACC-0001-0019,ACC-0001,2024-05-13,IE-02,Industrial Equipment,9667.8,5,48339.0,16435.26
ORD-ACC-0001-0019,ACC-0001,2024-05-13,PM-03,Packaging Materials,23.37,5,116.85,9.35
ORD-ACC-0001-0013,ACC-0001,2024-05-15,IE-03,Industrial Equipment,13660.43,4,54641.72,18578.18
ORD-ACC-0001-0011,ACC-0001,2024-05-20,OS-01,Office Supplies,110.66,2,221.32,22.13
ORD-ACC-0001-0011,ACC-0001,2024-05-20,PM-01,Packaging Materials,33.46,4,133.84,10.71
ORD-ACC-0001-0011,ACC-0001,2024-05-20,CS-03,Cleaning Supplies,49.0,1,49.0,4.41
ORD-ACC-0001-0018,ACC-0001,2024-05-22,IE-02,Industrial Equipment,10119.28,5,50596.4,17202.78
ORD-ACC-0001-0014,ACC-0001,2024-05-23,SG-01,Safety Gear,287.21,1,287.21,51.7
ORD-ACC-0001-0014,ACC-0001,2024-05-23,PM-01,Packaging Materials,33.32,1,33.32,2.67
ORD-ACC-0001-0014,ACC-0001,2024-05-23,IE-03,Industrial Equipment,14502.7,2,29005.4,9861.84
ORD-ACC-0001-0014,ACC-0001,2024-05-23,PM-03,Packaging Materials,22.62,4,90.48,7.24
